,Index,Preferred_scientific_name,International_common_name,ISC_content,Plant_pest,_5,Domain,Kingdon,Phylum,Class,Order,Family,Datasheet_URL,native,introduced,invasive,present
218,218,Centaurea diffusa, diffuse knapweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/12039,"['Armenia', 'Azerbaijan', 'Georgia', 'Turkey', 'Bulgaria', 'Federal Republic of Yugoslavia', 'Greece', 'Moldova', 'Romania', 'Russia', '-Central Russia', '-Southern Russia', '-Western Siberia', 'Serbia', 'Ukraine']","['Iran', 'Syria', 'Austria', 'Czechia', 'Czechoslovakia', 'France', 'Germany', 'Hungary', 'Italy', 'Poland', 'Switzerland', 'Canada', '-Alberta', '-British Columbia', '-Manitoba', '-Ontario', '-Saskatchewan', 'United States', '-Arizona', '-California', '-Colorado', '-Connecticut', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kentucky', '-Massachusetts', '-Michigan', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Jersey', '-New Mexico', '-North Dakota', '-Oregon', '-South Dakota', '-Tennessee', '-Utah', '-Washington', '-Wisconsin', '-Wyoming', 'Argentina']",[],"['Armenia', 'Azerbaijan', 'Georgia', 'Iran', 'Syria', 'Turkey', 'Austria', 'Bulgaria', 'Czechia', 'Czechoslovakia', 'Federal Republic of Yugoslavia', 'France', 'Germany', 'Greece', 'Hungary', 'Italy', 'Moldova', 'Poland', 'Romania', 'Russia', '-Central Russia', '-Southern Russia', '-Western Siberia', 'Serbia', 'Sweden', 'Switzerland', 'Ukraine', 'Canada', '-Alberta', '-British Columbia', '-Manitoba', '-Ontario', '-Saskatchewan', 'United States', '-Arizona', '-California', '-Colorado', '-Connecticut', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kentucky', '-Massachusetts', '-Michigan', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Jersey', '-New Mexico', '-North Dakota', '-Oregon', '-South Dakota', '-Tennessee', '-Utah', '-Washington', '-Wisconsin', '-Wyoming', 'Argentina']"
219,219,Centaurea iberica, Iberian starthistle, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/109132,"['Afghanistan', 'Armenia', 'Azerbaijan', '-Xinjiang', 'Georgia', '-Jammu and Kashmir', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Kazakhstan', 'Kyrgyzstan', 'Lebanon', 'Pakistan', 'Syria', 'Tajikistan', 'Turkey', 'Turkmenistan', 'Uzbekistan', 'Bulgaria', 'Cyprus', 'Federal Republic of Yugoslavia', 'Greece', 'Romania', 'Ukraine']","['Italy', 'Lithuania', '-California', '-Kansas', '-Oregon', '-Wyoming', 'Argentina']",[],"['Afghanistan', 'Armenia', 'Azerbaijan', 'China', '-Xinjiang', 'Georgia', 'India', '-Jammu and Kashmir', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Kazakhstan', 'Kyrgyzstan', 'Lebanon', 'Pakistan', 'Syria', 'Tajikistan', 'Turkey', 'Turkmenistan', 'Uzbekistan', 'Bulgaria', 'Cyprus', 'Federal Republic of Yugoslavia', 'Greece', 'Italy', 'Lithuania', 'Romania', 'Ukraine', 'United States', '-California', '-Kansas', '-Oregon', '-Wyoming', 'Argentina']"
220,220,Centaurea macrocephala, giant knapweed, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/12041,"['Armenia', 'Azerbaijan', 'Iran', 'Turkey']","['Denmark', 'Finland', 'United Kingdom', '-British Columbia', '-Ontario', '-Quebec', '-Colorado', '-Idaho', '-Montana', '-Oregon', '-Washington']",[],"['Armenia', 'Azerbaijan', 'Iran', 'Turkey', 'Czechia', 'Denmark', 'Finland', 'United Kingdom', 'Canada', '-British Columbia', '-Ontario', '-Quebec', 'United States', '-Colorado', '-Idaho', '-Montana', '-Oregon', '-Washington', 'New Zealand']"
221,221,Centaurea melitensis, Maltese starthistle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/109133,"['Algeria', 'Libya', 'Morocco', 'Tunisia', 'Federal Republic of Yugoslavia', 'France', '-Corsica', 'Greece', 'Italy', 'Portugal', '-Azores', 'Spain', '-Canary Islands']","['Angola', 'Ethiopia', 'Kenya', 'South Africa', 'Zimbabwe', 'China', 'United Kingdom', '-British Columbia', 'Mexico', '-Arizona', '-California', '-Georgia', '-Hawaii', '-Indiana', '-Massachusetts', '-Missouri', '-Nevada', '-New Mexico', '-Oregon', '-Pennsylvania', '-South Carolina', '-Texas', '-Utah', '-Washington', '-Western Australia', 'New Caledonia', 'New Zealand', 'Norfolk Island', 'Argentina', 'Chile', 'Ecuador', 'Peru']",[],"['Algeria', 'Angola', 'Ethiopia', 'Kenya', 'Libya', 'Morocco', 'South Africa', 'Tunisia', 'Zimbabwe', 'China', 'Federal Republic of Yugoslavia', 'France', '-Corsica', 'Greece', 'Italy', 'Portugal', '-Azores', 'Spain', '-Canary Islands', 'United Kingdom', 'Canada', '-British Columbia', 'Mexico', 'United States', '-Arizona', '-California', '-Georgia', '-Hawaii', '-Indiana', '-Massachusetts', '-Missouri', '-Nevada', '-New Mexico', '-Oregon', '-Pennsylvania', '-South Carolina', '-Texas', '-Utah', '-Washington', '-Wisconsin', 'Australia', '-Western Australia', 'New Caledonia', 'New Zealand', 'Norfolk Island', 'Argentina', 'Chile', 'Ecuador', 'Peru']"
222,222,Centaurea solstitialis, yellow starthistle, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/12043,"['Algeria', 'Tunisia', 'Armenia', 'Azerbaijan', 'Georgia', 'Iran', 'Iraq', 'Lebanon', 'Syria', 'Tajikistan', 'Turkey', 'Turkmenistan', 'Albania', 'Bulgaria', 'Federal Republic of Yugoslavia', 'France', '-Corsica', 'Greece', 'Italy', 'Serbia', 'Spain', '-Balearic Islands', 'Ukraine']","['Botswana', 'Egypt', 'Eswatini', 'South Africa', 'Israel', 'Jordan', 'Austria', 'Czechia', 'Czechoslovakia', 'Germany', 'Hungary', 'Moldova', 'Poland', 'Romania', 'Russia', '-Southern Russia', 'Switzerland', 'United Kingdom', '-Alberta', '-British Columbia', '-Manitoba', '-Ontario', 'Trinidad and Tobago', 'United States', '-Arizona', '-California', '-Colorado', '-Connecticut', '-Delaware', '-Florida', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kansas', '-Kentucky', '-Maryland', '-Massachusetts', '-Michigan', '-Minnesota', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Hampshire', '-New Jersey', '-New Mexico', '-New York', '-North Carolina', '-North Dakota', '-Ohio', '-Oklahoma', '-Oregon', '-Pennsylvania', '-Rhode Island', '-South Carolina', '-South Dakota', '-Tennessee', '-Texas', '-Utah', '-Virginia', '-Washington', '-West Virginia', '-Wisconsin', '-Wyoming', 'Australia', '-New South Wales', '-Queensland', '-Victoria', 'New Zealand', 'Papua New Guinea', 'Argentina', 'Chile', 'Uruguay']",[],"['Algeria', 'Botswana', 'Egypt', 'Eswatini', 'South Africa', 'Tunisia', 'Armenia', 'Azerbaijan', 'Georgia', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Lebanon', 'Syria', 'Tajikistan', 'Turkey', 'Turkmenistan', 'Albania', 'Austria', 'Bulgaria', 'Czechia', 'Czechoslovakia', 'Federal Republic of Yugoslavia', 'France', '-Corsica', 'Germany', 'Greece', 'Hungary', 'Italy', 'Moldova', 'Poland', 'Romania', 'Russia', '-Southern Russia', 'Serbia', 'Spain', '-Balearic Islands', 'Switzerland', 'Ukraine', 'United Kingdom', 'Canada', '-Alberta', '-British Columbia', '-Manitoba', '-Ontario', 'Trinidad and Tobago', 'United States', '-Arizona', '-California', '-Colorado', '-Connecticut', '-Delaware', '-Florida', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kansas', '-Kentucky', '-Maryland', '-Massachusetts', '-Michigan', '-Minnesota', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Hampshire', '-New Jersey', '-New Mexico', '-New York', '-North Carolina', '-North Dakota', '-Ohio', '-Oklahoma', '-Oregon', '-Pennsylvania', '-Rhode Island', '-South Carolina', '-South Dakota', '-Tennessee', '-Texas', '-Utah', '-Virginia', '-Washington', '-West Virginia', '-Wisconsin', '-Wyoming', 'Australia', '-New South Wales', '-Queensland', '-Victoria', 'New Zealand', 'Papua New Guinea', 'Argentina', 'Chile', 'Uruguay']"
223,223,Centaurea stoebe subsp. micranthos, spotted knapweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/12040,"['Albania', 'Austria', 'Bosnia and Herzegovina', 'Bulgaria', 'Federal Republic of Yugoslavia', 'Estonia', 'Hungary', 'Latvia', 'Lithuania', 'Moldova', 'North Macedonia', 'Romania', 'Russia', '-Central Russia', '-Southern Russia', '-Western Siberia', 'Serbia', 'Slovakia', 'Slovenia', 'Ukraine']","['Iran', 'Belarus', 'Belgium', 'Czechia', 'Czechoslovakia', 'France', 'Germany', 'Italy', 'Netherlands', 'Poland', 'Sweden', 'Switzerland', 'Canada', '-Alberta', '-British Columbia', '-Manitoba', '-Ontario', '-Quebec', '-Saskatchewan', 'United States', '-Arizona', '-California', '-Colorado', '-Connecticut', '-Delaware', '-Florida', '-Georgia', '-Hawaii', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kansas', '-Kentucky', '-Louisiana', '-Maine', '-Maryland', '-Massachusetts', '-Michigan', '-Minnesota', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Hampshire', '-New Jersey', '-New Mexico', '-New York', '-North Carolina', '-North Dakota', '-Ohio', '-Oregon', '-Pennsylvania', '-Rhode Island', '-South Carolina', '-South Dakota', '-Tennessee', '-Utah', '-Vermont', '-Virginia', '-Washington', '-West Virginia', '-Wisconsin', '-Wyoming', 'New Zealand']",[],"['Iran', 'Albania', 'Austria', 'Belarus', 'Belgium', 'Bosnia and Herzegovina', 'Bulgaria', 'Czechia', 'Czechoslovakia', 'Federal Republic of Yugoslavia', 'Estonia', 'France', 'Germany', 'Greece', 'Hungary', 'Italy', 'Latvia', 'Lithuania', 'Moldova', 'Netherlands', 'North Macedonia', 'Poland', 'Romania', 'Russia', '-Central Russia', '-Southern Russia', '-Western Siberia', 'Serbia', 'Slovakia', 'Slovenia', 'Sweden', 'Switzerland', 'Ukraine', 'Canada', '-Alberta', '-British Columbia', '-Manitoba', '-Ontario', '-Quebec', '-Saskatchewan', 'United States', '-Arizona', '-California', '-Colorado', '-Connecticut', '-Delaware', '-Florida', '-Georgia', '-Hawaii', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kansas', '-Kentucky', '-Louisiana', '-Maine', '-Maryland', '-Massachusetts', '-Michigan', '-Minnesota', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Hampshire', '-New Jersey', '-New Mexico', '-New York', '-North Carolina', '-North Dakota', '-Ohio', '-Oregon', '-Pennsylvania', '-Rhode Island', '-South Carolina', '-South Dakota', '-Tennessee', '-Utah', '-Vermont', '-Virginia', '-Washington', '-West Virginia', '-Wisconsin', '-Wyoming', 'New Zealand']"
224,224,Centella asiatica, Asiatic pennywort, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Apiales, Apiaceae, https://www.cabi.org/isc/datasheet/12048,"['Angola', 'Benin', 'Botswana', 'Burkina Faso', 'Burundi', 'Cameroon', ""Côte d'Ivoire"", 'Equatorial Guinea', 'Eswatini', 'Ethiopia', 'Gabon', 'Ghana', 'Guinea', 'Guinea-Bissau', 'Kenya', 'Lesotho', 'Liberia', 'Malawi', 'Mali', 'Mayotte', 'Mozambique', 'Namibia', 'Niger', 'Nigeria', 'Réunion', 'Saint Helena', 'Senegal', 'Sierra Leone', 'Somalia', 'South Africa', 'Tanzania', 'Togo', 'Uganda', 'Zambia', 'Zimbabwe', 'Bangladesh', 'Bhutan', 'China', '-Anhui', '-Fujian', '-Guangdong', '-Guangxi', '-Hubei', '-Hunan', '-Jiangsu', '-Jiangxi', '-Shaanxi', '-Sichuan', '-Yunnan', '-Zhejiang', 'India', '-Sikkim', '-West Bengal', 'Indonesia', 'Iran', 'Japan', 'Laos', 'Malaysia', 'Mongolia', 'Myanmar', 'Nepal', 'North Korea', 'Pakistan', 'Philippines', 'Saudi Arabia', 'Singapore', 'South Korea', 'Sri Lanka', 'Taiwan', 'Thailand', 'Vietnam', 'Yemen', 'Bahamas', 'Belize', 'Cuba', 'Dominica', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Jamaica', 'Puerto Rico', 'Trinidad and Tobago', '-Alabama', '-Arkansas', '-Delaware', '-Louisiana', '-Maryland', '-Mississippi', '-New Jersey', '-North Carolina', '-South Carolina', '-Texas', '-Virginia', 'Australia', '-New South Wales', '-Queensland', 'Christmas Island', 'Federated States of Micronesia', 'Guam', 'New Zealand', 'Northern Mariana Islands', 'Palau', 'Solomon Islands', 'Argentina', 'Brazil', '-Alagoas', '-Bahia', '-Espirito Santo', '-Minas Gerais', '-Parana', '-Rio de Janeiro', '-Rio Grande do Sul', '-Santa Catarina', '-Sao Paulo', 'Chile', 'Colombia', 'Paraguay', 'Peru', 'Uruguay', 'Venezuela']","['Madagascar', 'Seychelles', 'Armenia', 'Azerbaijan', '-Chagos Archipelago', 'Cambodia', 'Georgia', 'Liechtenstein', 'Norway', '-Hawaii', 'American Samoa', '-Lord Howe Island', 'French Polynesia', 'Marshall Islands', 'Niue', 'Norfolk Island', 'Wallis and Futuna', 'Ecuador']",[],"['Angola', 'Benin', 'Botswana', 'Burkina Faso', 'Burundi', 'Cameroon', 'Comoros', ""Côte d'Ivoire"", 'Equatorial Guinea', 'Eswatini', 'Ethiopia', 'Gabon', 'Ghana', 'Guinea', 'Guinea-Bissau', 'Kenya', 'Lesotho', 'Liberia', 'Madagascar', 'Malawi', 'Mali', 'Mauritius', 'Mayotte', 'Mozambique', 'Namibia', 'Niger', 'Nigeria', 'Réunion', 'Saint Helena', 'Senegal', 'Seychelles', 'Sierra Leone', 'Somalia', 'South Africa', 'Tanzania', 'Togo', 'Uganda', 'Zambia', 'Zimbabwe', 'Armenia', 'Azerbaijan', 'Bangladesh', 'Bhutan', '-Chagos Archipelago', 'Cambodia', 'China', '-Anhui', '-Fujian', '-Guangdong', '-Guangxi', '-Hubei', '-Hunan', '-Jiangsu', '-Jiangxi', '-Shaanxi', '-Sichuan', '-Yunnan', '-Zhejiang', 'Georgia', 'India', '-Andhra Pradesh', '-Sikkim', '-Tamil Nadu', '-Uttarakhand', '-West Bengal', 'Indonesia', 'Iran', 'Japan', 'Laos', 'Malaysia', 'Mongolia', 'Myanmar', 'Nepal', 'North Korea', 'Pakistan', 'Philippines', 'Saudi Arabia', 'Singapore', 'South Korea', 'Sri Lanka', 'Taiwan', 'Thailand', 'Vietnam', 'Yemen', 'Liechtenstein', 'Norway', 'Russia', 'Bahamas', 'Belize', 'Cuba', 'Dominica', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Jamaica', 'Mexico', 'Puerto Rico', 'Trinidad and Tobago', 'United States', '-Alabama', '-Arkansas', '-Delaware', '-Florida', '-Georgia', '-Hawaii', '-Louisiana', '-Maryland', '-Mississippi', '-New Jersey', '-North Carolina', '-Oregon', '-South Carolina', '-Texas', '-Virginia', 'American Samoa', 'Australia', '-Lord Howe Island', '-New South Wales', '-Queensland', 'Christmas Island', 'Cook Islands', 'Federated States of Micronesia', 'French Polynesia', 'Guam', 'Marshall Islands', 'New Caledonia', 'New Zealand', 'Niue', 'Norfolk Island', 'Northern Mariana Islands', 'Palau', 'Papua New Guinea', 'Samoa', 'Solomon Islands', 'Tonga', 'Tuvalu', 'Vanuatu', 'Wallis and Futuna', 'Argentina', 'Brazil', '-Alagoas', '-Bahia', '-Espirito Santo', '-Minas Gerais', '-Parana', '-Rio de Janeiro', '-Rio Grande do Sul', '-Santa Catarina', '-Sao Paulo', 'Chile', 'Colombia', 'Ecuador', 'Paraguay', 'Peru', 'Uruguay', 'Venezuela']"
225,225,Centratherum punctatum, lark daisy, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/14608,"['Philippines', 'Trinidad and Tobago', 'Argentina', 'Bolivia', '-Acre', '-Alagoas', '-Bahia', '-Ceara', '-Espirito Santo', '-Goias', '-Maranhao', '-Mato Grosso', '-Minas Gerais', '-Paraiba', '-Parana', '-Pernambuco', '-Piaui', '-Rio de Janeiro', '-Rio Grande do Norte', '-Rio Grande do Sul', '-Santa Catarina', '-Sao Paulo', '-Sergipe', 'Colombia', 'Ecuador', 'French Guiana', 'Guyana', 'Paraguay', 'Peru', 'Venezuela']","['Nigeria', 'Zimbabwe', 'India', '-Kerala', 'Malaysia', 'Singapore', 'Taiwan', '-Madeira', 'Barbados', 'British Virgin Islands', 'Dominica', 'Dominican Republic', 'Guadeloupe', 'Haiti', 'Martinique', 'Netherlands Antilles', 'Panama', 'Puerto Rico', 'Saint Lucia', 'U.S. Virgin Islands', '-Florida', '-Hawaii', 'New Caledonia', 'Palau']",['-Galapagos Islands'],"['Nigeria', 'Zimbabwe', 'India', '-Kerala', 'Malaysia', 'Philippines', 'Singapore', 'Taiwan', 'Portugal', '-Madeira', 'Barbados', 'British Virgin Islands', 'Dominica', 'Dominican Republic', 'Guadeloupe', 'Haiti', 'Martinique', 'Netherlands Antilles', 'Panama', 'Puerto Rico', 'Saint Lucia', 'Trinidad and Tobago', 'U.S. Virgin Islands', 'United States', '-Florida', '-Hawaii', 'Australia', '-New South Wales', '-Northern Territory', '-Queensland', 'New Caledonia', 'Palau', 'Argentina', 'Bolivia', 'Brazil', '-Acre', '-Alagoas', '-Bahia', '-Ceara', '-Espirito Santo', '-Goias', '-Maranhao', '-Mato Grosso', '-Minas Gerais', '-Paraiba', '-Parana', '-Pernambuco', '-Piaui', '-Rio de Janeiro', '-Rio Grande do Norte', '-Rio Grande do Sul', '-Santa Catarina', '-Sao Paulo', '-Sergipe', 'Colombia', 'Ecuador', '-Galapagos Islands', 'French Guiana', 'Guyana', 'Paraguay', 'Peru', 'Venezuela']"
226,226,Ceratocephala testiculata, bur buttercup, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Ranunculales, Ranunculaceae, https://www.cabi.org/isc/datasheet/113121,"['Algeria', 'Morocco', 'Afghanistan', 'Armenia', 'Azerbaijan', '-Xinjiang', 'Georgia', '-Jammu and Kashmir', 'Iran', 'Kazakhstan', 'Kyrgyzstan', 'Pakistan', 'Tajikistan', 'Turkey', 'Turkmenistan', 'Uzbekistan', 'Austria', 'Belarus', 'Bulgaria', 'Czechia', 'Greece', 'Hungary', 'Poland', 'Romania', 'Russia', '-Southern Russia', '-Western Siberia', 'Serbia', 'Slovakia', 'Ukraine']","['-Alberta', '-British Columbia', '-Ontario', '-Saskatchewan', '-Arizona', '-California', '-Colorado', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kansas', '-Minnesota', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Mexico', '-New York', '-North Dakota', '-Ohio', '-Oregon', '-South Dakota', '-Utah', '-Washington', '-Wyoming']",[],"['Algeria', 'Morocco', 'Afghanistan', 'Armenia', 'Azerbaijan', 'China', '-Xinjiang', 'Georgia', 'India', '-Jammu and Kashmir', 'Iran', 'Kazakhstan', 'Kyrgyzstan', 'Pakistan', 'Tajikistan', 'Turkey', 'Turkmenistan', 'Uzbekistan', 'Austria', 'Belarus', 'Bulgaria', 'Czechia', 'Greece', 'Hungary', 'Poland', 'Romania', 'Russia', '-Southern Russia', '-Western Siberia', 'Serbia', 'Slovakia', 'Ukraine', 'Canada', '-Alberta', '-British Columbia', '-Ontario', '-Saskatchewan', 'United States', '-Arizona', '-California', '-Colorado', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kansas', '-Minnesota', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Mexico', '-New York', '-North Dakota', '-Ohio', '-Oregon', '-South Dakota', '-Utah', '-Washington', '-Wyoming']"
227,227,Ceratophyllum demersum, coontail, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Nymphaeales, Ceratophyllaceae, https://www.cabi.org/isc/datasheet/16222,[],['Cuba'],[],"['Benin', 'Chad', ""Côte d'Ivoire"", 'Egypt', 'Ethiopia', 'Ghana', 'Kenya', 'Mali', 'Nigeria', 'Senegal', 'Sierra Leone', 'Sudan', 'Tanzania', 'Zimbabwe', 'Afghanistan', 'Bangladesh', 'China', '-Anhui', '-Hubei', '-Hunan', '-Inner Mongolia', '-Jiangsu', '-Jiangxi', 'India', '-Andhra Pradesh', '-Bihar', '-Gujarat', '-Haryana', '-Jammu and Kashmir', '-Karnataka', '-Mizoram', '-Odisha', '-Punjab', '-Rajasthan', '-Uttar Pradesh', '-West Bengal', 'Indonesia', '-Irian Jaya', '-Java', '-Sulawesi', 'Iraq', 'Israel', 'Japan', '-Honshu', 'Laos', 'Malaysia', '-Peninsular Malaysia', 'Myanmar', 'North Korea', 'Philippines', 'Saudi Arabia', 'Singapore', 'Sri Lanka', 'Taiwan', 'Thailand', 'Turkey', 'Vietnam', 'Austria', 'Belgium', 'Croatia', 'Czechoslovakia', 'Federal Republic of Yugoslavia', 'Denmark', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Italy', 'Lithuania', 'Netherlands', 'North Macedonia', 'Poland', 'Portugal', 'Russia', 'Slovakia', 'Spain', '-Balearic Islands', 'Sweden', 'Ukraine', 'United Kingdom', '-England', 'Bermuda', 'Canada', '-Alberta', '-British Columbia', '-Manitoba', '-New Brunswick', '-Newfoundland and Labrador', '-Northwest Territories', '-Nova Scotia', '-Ontario', '-Prince Edward Island', '-Quebec', '-Saskatchewan', '-Yukon', 'Cuba', 'Mexico', 'Panama', 'Puerto Rico', 'United States', '-Alabama', '-Alaska', '-Arizona', '-Arkansas', '-California', '-Colorado', '-Connecticut', '-Delaware', '-Florida', '-Georgia', '-Hawaii', '-Idaho', '-Illinois', '-Indiana', '-Iowa', '-Kansas', '-Kentucky', '-Louisiana', '-Maine', '-Maryland', '-Massachusetts', '-Michigan', '-Minnesota', '-Mississippi', '-Missouri', '-Montana', '-Nebraska', '-Nevada', '-New Hampshire', '-New Jersey', '-New Mexico', '-New York', '-North Carolina', '-North Dakota', '-Ohio', '-Oklahoma', '-Oregon', '-Pennsylvania', '-Rhode Island', '-South Carolina', '-South Dakota', '-Tennessee', '-Texas', '-Utah', '-Vermont', '-Virginia', '-Washington', '-West Virginia', '-Wisconsin', '-Wyoming', 'Australia', '-New South Wales', 'Fiji', 'New Zealand', 'Papua New Guinea', 'Argentina', 'Brazil', '-Amazonas', '-Goias', '-Mato Grosso do Sul', '-Minas Gerais', '-Para', '-Parana', '-Santa Catarina', '-Sao Paulo', 'Colombia']"
228,228,Cestrum diurnum, day jessamine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Solanales, Solanaceae, https://www.cabi.org/isc/datasheet/89953,"['British Virgin Islands', 'Cuba', 'Jamaica', 'Puerto Rico']","['South Africa', 'India', '-Tamil Nadu', 'Pakistan', 'Singapore', 'Bahamas', 'Cayman Islands', 'Dominica', 'Dominican Republic', 'Grenada', 'Guadeloupe', 'Haiti', 'Mexico', 'Netherlands Antilles', 'Trinidad and Tobago', '-Florida', '-Hawaii', '-Texas', 'American Samoa', 'Cook Islands', 'Federated States of Micronesia', 'Fiji', 'French Polynesia', 'Guam', 'Northern Mariana Islands', 'Samoa', 'Tonga', 'Wallis and Futuna', 'Venezuela']",[],"['South Africa', 'India', '-Tamil Nadu', 'Pakistan', 'Singapore', 'Bahamas', 'British Virgin Islands', 'Cayman Islands', 'Cuba', 'Dominica', 'Dominican Republic', 'Grenada', 'Guadeloupe', 'Haiti', 'Jamaica', 'Mexico', 'Netherlands Antilles', 'Puerto Rico', 'Trinidad and Tobago', 'United States', '-Florida', '-Hawaii', '-Texas', 'American Samoa', 'Cook Islands', 'Federated States of Micronesia', 'Fiji', 'French Polynesia', 'Guam', 'Northern Mariana Islands', 'Samoa', 'Tonga', 'Wallis and Futuna', 'Venezuela']"
229,229,Cestrum nocturnum, night jessamine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Solanales, Solanaceae, https://www.cabi.org/isc/datasheet/12031,"['Belize', 'Colombia']","['Ethiopia', 'Kenya', 'Madagascar', 'Malawi', 'Réunion', 'Rwanda', 'Tanzania', 'Uganda', 'Zambia', 'China', 'Hong Kong', 'Japan', 'Philippines', 'Singapore', 'British Virgin Islands', 'Cuba', 'Dominican Republic', 'Haiti', 'Jamaica', 'Martinique', 'Puerto Rico', 'U.S. Virgin Islands', '-California', '-Florida', '-Georgia', '-Louisiana', '-Texas', 'American Samoa', 'Australia', '-New South Wales', '-Queensland', 'Cook Islands', 'Federated States of Micronesia', 'Fiji', 'French Polynesia', 'Guam', 'Marshall Islands', 'Nauru', 'New Caledonia', 'New Zealand', 'Niue', 'Pitcairn', 'Samoa', 'Tonga', 'Wallis and Futuna', '-Galapagos Islands']",[],"['Egypt', 'Ethiopia', 'Kenya', 'Madagascar', 'Malawi', 'Réunion', 'Rwanda', 'Tanzania', 'Tunisia', 'Uganda', 'Zambia', 'China', 'Hong Kong', 'India', '-Odisha', 'Indonesia', '-Java', 'Iraq', 'Japan', 'Myanmar', 'Pakistan', 'Philippines', 'Singapore', 'Greece', 'Italy', 'Belize', 'British Virgin Islands', 'Costa Rica', 'Cuba', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Haiti', 'Honduras', 'Jamaica', 'Martinique', 'Mexico', 'Nicaragua', 'Panama', 'Puerto Rico', 'U.S. Virgin Islands', 'United States', '-California', '-Florida', '-Georgia', '-Hawaii', '-Louisiana', '-Texas', 'American Samoa', 'Australia', '-New South Wales', '-Queensland', 'Cook Islands', 'Federated States of Micronesia', 'Fiji', 'French Polynesia', 'Guam', 'Kiribati', 'Marshall Islands', 'Nauru', 'New Caledonia', 'New Zealand', 'Niue', 'Northern Mariana Islands', 'Pitcairn', 'Samoa', 'Tonga', 'Wallis and Futuna', 'Brazil', '-Distrito Federal', 'Colombia', 'Ecuador', '-Galapagos Islands', 'French Guiana']"
